target	mouse	readout	difference	primary	min10	target_cells
Adamts17	mouse16	gene_Naa25	0.210514678514	True	True	21
Adamts17	mouse16	gene_Pomp	0.0283732513506	True	True	21
Adamts17	mouse16	gene_Psmb4	-0.0105398525934	True	True	21
Adamts17	mouse16	gene_Psmc5	-0.0353736733431	True	True	21
Adamts17	mouse17	synapse	-0.0171175308962	False	True	15
Adamts17	mouse17	proteasome	-0.0194576701476	False	True	15
Adamts17	mouse17	synapse_without_Syt1	-0.019006209051	False	True	15
Adamts17	mouse17	gene_Syp	0.252981070953	False	True	15
Adamts17	mouse17	gene_Syt1	0.141531434111	False	True	15
Adamts17	mouse17	gene_Snca	-0.0996490067124	False	True	15
Adamts17	mouse17	gene_Naa20	0.161890709328	False	True	15
Adamts17	mouse17	gene_Naa25	0.0174204248566	False	True	15
Adamts17	mouse17	gene_Pomp	-0.0777944099084	False	True	15
Adamts17	mouse17	gene_Psmb4	-0.0398750043695	False	True	15
Adamts17	mouse17	gene_Psmc5	-0.0948646830069	False	True	15
Adamts17	mouse18	synapse	0.000228240220013	True	True	40
Adamts17	mouse18	proteasome	0.00916845105351	True	True	40
Adamts17	mouse18	synapse_without_Syt1	0.00135964567365	True	True	40
Adamts17	mouse18	gene_Syp	-0.176750517159	True	True	40
Adamts17	mouse18	gene_Syt1	-0.0948098178852	True	True	40
Adamts17	mouse18	gene_Snca	-0.141465940147	True	True	40
Adamts17	mouse18	gene_Naa20	0.148082054875	True	True	40
Adamts17	mouse18	gene_Naa25	-0.00349125173098	True	True	40
Adamts17	mouse18	gene_Pomp	0.035506312258	True	True	40
Adamts17	mouse18	gene_Psmb4	-0.0643683054932	True	True	40
Adamts17	mouse18	gene_Psmc5	-0.0420174259179	True	True	40
Adamts17	mouse19	synapse	0.0295302195389	False	True	16
Adamts17	mouse19	proteasome	0.0279036434099	False	True	16
Adamts17	mouse19	synapse_without_Syt1	0.0273240336635	False	True	16
Adamts17	mouse19	gene_Syp	0.0336120739595	False	True	16
Adamts17	mouse19	gene_Syt1	0.214849833074	False	True	16
Adamts17	mouse19	gene_Snca	-0.0461178810978	False	True	16
Adamts17	mouse19	gene_Naa20	0.0782101382437	False	True	16
Adamts17	mouse19	gene_Naa25	0.0166250015382	False	True	16
Adamts17	mouse19	gene_Pomp	0.104235080478	False	True	16
Adamts17	mouse19	gene_Psmb4	-0.0266214443712	False	True	16
Adamts17	mouse19	gene_Psmc5	0.0670135061545	False	True	16
